Hasil,Nilai,Sentimen,Compound_Score,Sentiments
bicara sepak bola maret besok bali pengundian grup ajang piala taman werdhi budaya art centre bali yuk bali yuk tuan rumah indonesiasiap,1,positif,0.3612,Positif
disadari tweeps penyelenggaraan piala sukses bahu membahu sukseskan indonesia tuan rumah indonesiasiap,1,positif,0.9136,Positif
momen peeerrrtama kalinya indonesia tuan rumah piala sempet pesimis kegaduhan waktu semoga balikin kepercayaan msy sepakbola indonesia tuan rumah indonesiasiap,1,positif,0.7184,Positif
logo piala terinspirasi kekayaan alam budaya indonesia warna ceria tuan rumah indonesiasiap,1,positif,0.9337,Positif
negara putaran final piala indonesiasiap tuan rumah hailey,1,positif,0.3612,Positif
menpora zainudin amali arakan trofi piala kota papua tuan rumah indonesiasiap,1,positif,0.3612,Positif
perwakilan fifa mengecek kesiapan piala biar berjalan sesuai rencana disusun indonesiasiap tuan rumah,0,netral,0.6597,Positif
fyi sebenernya piala fifa dulunya bernama piala pemuda fifa diadakan tahun indonesiasiap tuan rumah,0,netral,0.5106,Positif
lengkapnya dibaca tweeps indonesia tuan rumah piala indonesiasiap,0,netral,0.3612,Positif
teman deh indonesia tuan rumah piala tahun tuan rumah indonesiasiap,0,netral,0.6908,Positif
alhamdulillah indonesia terpilih penyelenggaran piala teja indonesiasiap tuan rumah,1,positif,0.7269,Positif
trofi piala keempat warna pastinya kaitannya indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
indonesia menggelar piala tahun desember fifa mengumumkan turnamen edisi dibatalkan pandemi covid indonesia tuan rumah edisi tahun,1,positif,0,Netral
kepercayaan menyelenggarakan event internasional dipercaya indonesia dipercaya tuan rumah piala indonesiasiap,1,positif,0.8271,Positif
fifa resmi meluncurkan logo piala peluncurannya bertepatan hut ri tahun indonesiasiap tuan rumah,1,positif,0.3612,Positif
jadwal pertandingan piala fifa tuan rumah indonesiasiap,1,positif,0.3612,Positif
piala indonesia kota pulau stadion utama gbk jkt stadion jalak harupat bandung stadion manahan solo stadion gelora tomo surabaya stadion gelora sriwijaya palembang stadion kapt wayan dipta bali indonesiasiap tuan rumah,-1,negatif,0.3612,Positif
tim fifa detail persiapan venue sarana parasarana kesiapan tenaga volunter membantu mensukseskan penyelenggaraan piala indonesia indonesiasiap tuan rumah,1,positif,0.875,Positif
palembang jakarta bandung bali surakarta surabaya tuan rumah peserta piala representasi indonesia indonesiasiap,1,positif,0.3612,Positif
jadwal sistem pertandingan piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
cuzz bali bestie biar pengundian grup ajang piala catat tanggal maret biar healing sayang tuan rumah indonesiasiap,1,positif,0.6557,Positif
mantap pssi dirombak erick thohir indonesiasiap tuan rumah piala,1,positif,0.765,Positif
bestie fifa resmi meluncurkan logo piala peluncurannya bertepatan hut ri tahun indonesiasiap tuan rumah,1,positif,0.3612,Positif
supporter bikin keributan ajang piala indonesiasiap tuan rumah,1,positif,0.6597,Positif
kesiapan tuan rumah penyelenggaraan piala dipantau inspeksi fifa catatan masukan tim fifa perbaikan indonesiasiap,1,positif,0.5423,Positif
kedatangan direktur pertandingan fifa jaime yarza meninjau kesiapan stadion salah venue piala tuan rumah indonesiasiap,1,positif,0.1027,Positif
keberhasilan tuan rumah luput bantuan relawan membantu gelaran piala indonesiasiap,1,positif,0.8555,Positif
rencananya piala diselenggarakan tanggal mei juni dann event turnamen fifa diadakan indonesia so sambut meriah antusiasme tinggi tweeps tuan rumah indonesiasiap,1,positif,0.9278,Positif
indonesia tuan rumah event resmi fifa piala diselenggarakan asia tenggara malaysia tahun,0,netral,0,Netral
stadion piala tuan rumah teman-teman indonesiasiap,0,netral,0.6808,Positif
indonesiasiap tuan rumah piala info sepak bola senin,0,netral,0.3612,Positif
ajang piala berlaga talenta talenta terbaik bidang sepakbola indonesia tuan rumah indonesiasiap otomatis lolos berpartisipasi fifa world,0,netral,0.8658,Positif
fyi tweps piala fifa edisi turnamen piala fifa turnamen diselenggarakan indonesia tuan rumah tanggal mei juni indonesiasiap,1,positif,0.5106,Positif
elemen pemerintah indonesia pssi indonesia fifa world organizing committee inafoc keras piala indonesia berjalan lancar tuan rumah indonesiasiap,1,positif,0.3612,Positif
piala indonesia laga dilaksanakan tanggal mei juni kompetisi fifa indonesia negara bertanding tuan rumah maksimal indonesiasiap,1,positif,0.3612,Positif
percaya pemain indonesia membawa perubahan indonesiasiap tuan rumah piala,1,positif,0.3612,Positif
menpora persiapan menyambut piala kelar infrastruktur venue pertandingannya indonesiasiap tuan rumah,1,positif,0.6705,Positif
kejuaraan menghasilkan bintang bintang pemain sepak bola persepak bolaan piala fifa digulirkan amp bernama kejuaraan remaja fifa diikuti negara tuan rumah indonesiasiap,1,positif,0.7003,Positif
kejuaraan piala ikuti negara mengirimkan tim nasional sepakbola kelompok usia tahun tuan rumah indonesiasiap,-1,negatif,0.6597,Positif
bikin apresiasi menyambut piala tahun indonesia tuan rumah berbangga kepercayaan fifa tanah air tweeps indonesiasiap,1,positif,0.9349,Positif
sambut piala indonesia indonesiasiap tuan rumah,1,positif,0.6705,Positif
logo piala didominasi warna merah putih biru kuning membentuk trofi pengumumannya bertepatan hut ri tahun tuan rumah indonesiasiap,1,positif,0,Netral
piala diadakan tahun terkendala pandemi pas banget tahun indonesia kesempatan tuan rumah kebayang pecah banget semangat atletnya indonesiasiap,1,positif,-0.1027,Negatif
enam stadion persetujuan fifa lokasi piala indonesiasiap tuan rumah abby choi,1,positif,0.6808,Positif
negara diragukan kancah sepakbola indonesia pesimis terpilih tuan rumah piala indonesiasiap,1,positif,-0.5994,Negatif
perhelatan piala asia tenggara edisi dihelat malaysia indonesiasiap tuan rumah hailey,1,positif,0.3612,Positif
fyi pertandingan piala edisi event resmi fifa piala diselenggarakan asia tenggara indonesiasiap tuan rumah,1,positif,0.5106,Positif
tahun pandemi diadakan piala absen tahun piala ramai antusiasme penonton indonesiasiap tuan rumah,1,positif,0.6597,Positif
piala dikenal kejuaraan fifa turnamen sepak bola internasional pemain usia tahun turnamen diselenggarakan tahun fifa badan pengatur sepak bola internasional indonesiasiap mnjdi tuan rumah,1,positif,0.6597,Positif
bangga banget indonesia tuan rumah tahun menghadirkan piala meriah terlupakan indonesiasiap,1,positif,0.7902,Positif
indonesia negara asia tenggara malaysia negara ketujuh asia tuan rumah menggelar piala indonesiasiap,0,netral,0,Netral
momen indonesia tuan rumah piala cobaaaa indonesiasiap,0,netral,0.3612,Positif
mengikuti kejuaraan negara mengikuti kualifikasi konfederasi mengikuti piala fifa tuan rumah indonesiasiap,0,netral,0.6597,Positif
logo piala terinspirasi kekayaan alam budaya indonesia warna cerah dalamnya indonesiasiap tuan rumah,0,netral,0.9231,Positif
dipercaya tuan rumah piala selayaknya tuan rumah perhelatan kelak berjalan sukses indonesiasiap,1,positif,0.8555,Positif
logo piala indonesia diperkenalkan penggemar sepak bola loh indonesiasiap tuan rumah,1,positif,0.3612,Positif
bocoran stadion stadion pertandingan piala teman-teman tuan rumah manis yaa indonesiasiap,1,positif,0.8225,Positif
rencana permintaan presiden keppres inpres penyelenggaraan piala keppres inpres perubahan pembagian tugas inafoc fokus pengemasan acara indonesiasiap tuan rumah,1,positif,0.7184,Positif
piala piala pemuda fifa kejuaraan sepakbola resmi diadakan fifa tahun tuan rumah indonesiasiap,1,positif,0.4404,Positif
hayooo ramekan indonesiasiap tuan rumah piala,1,positif,0.3612,Positif
fyi indonesia terpilih tuan rumah piala edisi sidang dewan fifa shanghai tiongkok tanggal oktober indonesiasiap,-1,negatif,0.5106,Positif
indonesiasiap tuan rumah piala siapkan relawan,1,positif,0.3612,Positif
alhamdulillah indonesia tuan rumah piala indonesiasiap,1,positif,0.7269,Positif
gambaran kemeriahan tercipta penyelanggaraannya logo piala disematkan mahkota mewakili hasrat global permainan sepakbola benua indonesiasiap tuan rumah,1,positif,0.8591,Positif
piala diminati turnamen diselenggarakan tahun pemain tim nasional berusia tahun tahun indonesia kehormatan tuan rumah indonesiasiap,1,positif,0.6908,Positif
gambaran kemeriahan tercipta penyelanggaraannya logo piala disematkan mahkota mewakili hasrat global permainan sepakbola benua indonesiasiap tuan rumah,1,positif,0.8591,Positif
indonesiasiap tuan rumah stadion piala,1,positif,0.3612,Positif
patut bangga kalinya indonesia tuan rumah piala semangat sepak bola kota menjaga keamanan indonesiasiap,1,positif,0.8481,Positif
rencananya acara pembukaan penutupan piala pembahasan pssi berkomunikasi intens fifa tuan rumah indonesiasiap,1,positif,0.4215,Positif
indonesia fifa world organizing committee inafoc merencanakan pembukaan meriah piala wishnutama penanggung diberitakan media nasional tweeps indonesiasiap tuan rumah,1,positif,0.4588,Positif
pengundian diadakan trophy experience momen masyarakat berinteraksi trofi juara piala tuan rumah indonesiasiap,1,positif,0.3612,Positif
sbg negara tuan rumah fifa world logo piala indonesiasiap,1,positif,0.3612,Positif
tuan rumah menyambut tamu negara sukses meriah senang piala kesempatan bagus indonesia indonesiasiap,0,netral,0.9571,Positif
piala fifa menyelenggarakan turnamen internasional pemuda piala indonesia tuan rumah wanita piala wanita klub sepak bola turnamen futsal sepak bola pantai indonesiasiap,0,netral,0.3612,Positif
indonesia tuan rumah piala semangat tunjukkan sportivitas bangsa maju tuan rumah indonesiasiap,0,netral,0.6369,Positif
tahun piala tuan rumah beda ajang pertandingan acara pembukaan penutupan upacara indonesiasiap,0,netral,0.3612,Positif
fyi piala fifa kejuaraan sepakbola resmi diadakan fifa diikuti negara mengirimkan tim nasional sepakbola kelompok umur tahun indonesiasiap tuan rumah,1,positif,0.7351,Positif
tahun negara terpilih tuan rumah pelaksanaan piala keren kalinya loh negara terpilih tuan rumah laga indonesiasiap,1,positif,0.3612,Positif
tahun kemarin salah event tahun indonesia penyelenggara piala membanggakan bertubi loh kedatangan tamu internesyel indonesiasiap tuan rumah,1,positif,0.6808,Positif
sembilan negara lolos putaran final piala indonesia otomatis salah peserta tuan rumah indonesiasiap,1,positif,0.3612,Positif
indonesia tuan rumah piala mei juni kejuaraan sepak bola tahunan dikenal ajang melahirkan bintang legenda pengolah kulit bundar indonesiasiap tuan rumah,1,positif,0.6597,Positif
tim berlaga piala peserta lolos melewati pertandingan penyisihan babak maju putaran final semoga indonesia melaju tuan rumah gitu loh indonesiasiap,1,positif,0.7351,Positif
pssi fifa tek tokan kesiapan stadion stadion penyelenggaraan ajang bergengsi piala world indonesiasiap tuan rumah,-1,negatif,0.5423,Positif
menunggu piala diadakan mei kota jakarta palembang bandung surakarta surabaya bali tuan rumah tahun catet teman-teman tanggalnya skip indonesiasiap,1,positif,0.3612,Positif
negara tim negara mengamankan tiket perhelatan piala indonesia penasaran gak negara bertanding indonesiasiap tuan rumah,1,positif,0.7579,Positif
undian ajang piala bali hayu gas keun indonesiasiap tuan rumah sepak bola piala,1,positif,0.3612,Positif
dicontoh pemain timnas berlaga piala pertengahan tahun semangat bergelora kalah menang menyurutkan semangat berusaha indonesiasiap tuan rumah,1,positif,0.8442,Positif
kompetisi fifa indonesia negara bertanding perhelatan piala indonesia mesti dipersiapkan baiknya biar sukses pelaksanaannya indonesiasiap tuan rumah,1,positif,0.8519,Positif
negara terpilih tuan rumah gelaran acara piala fifa tahun masyarakat indonesia mendukung menjaga keamanan kelancaran ajang berjalan sukses indonesiasiap,1,positif,0.765,Positif
sejatinya indonesia menggelar piala tahun desember fifa mengumumkan turnamen edisi dibatalkan pandemi covid indonesiasiap tuan rumah,1,positif,0.3612,Positif
sejatinya indonesia menggelar piala tahun desember fifa mengumumkan turnamen edisi dibatalkan pandemi covid indonesiasiap tuan rumah,1,positif,0.3612,Positif
indonesia tuan rumah piala adik nyaranin relawan mikir keras mikir negara qatar ckckck indonesiasiap,1,positif,0.2732,Positif
turnamen diselenggarakan indonesia tanggal mei juni indonesia tuan rumah event resmi fifa piala diselenggarakan asia tenggara indonesiasiap tuan rumah,1,positif,0.3612,Positif
turnamen diselenggarakan indonesia tanggal mei juni indonesia tuan rumah event resmi fifa piala diselenggarakan asia tenggara indonesiasiap tuan rumah,1,positif,0.3612,Positif
event diselenggarakan mei juni turnamen fifa dimainkan indonesia asia tenggara piala dimainkan dimana tahun malaysia tuan rumah indonesiasiap,0,netral,0.743,Positif
kandidat kuat tuan rumah piala indonesia negara peru brasil indonesiasiap,0,netral,0.7003,Positif
pengumuman logo resmi piala resmi diluncurkan berbarengan hut ri tahun indonesiasiap tuan rumah,0,netral,0.4588,Positif
keren relawan terjun sukseskan fifa indonesiasiap tuan rumah piala,0,netral,0.8176,Positif
diikuti tim gak sabar the messi ronaldo piala indonesiasiap tuan rumah lolos otomatis mengerahkan kemampuan terbaiknya,1,positif,0.7579,Positif
kebanggaan indonesia stadion disiapkan indonesia tuan rumah piala indonesiasiap,1,positif,0.836,Positif
sore yuk sukseskan piala beli tiketnya gampang bca mobile indonesiasiap tuan rumah fifa,1,positif,0.9022,Positif
pertambangan tuan rumah terpilihnya stadion dukungan timnas berlaga piala indonesiasiap,1,positif,0.6597,Positif
tweeps suka nonton sepak bola piala fifa world tahun indonesia tuan rumah loh deh piala cem simak utas indonesiasiap,1,positif,0.6486,Positif
bangga indonesia tuan rumah piala indonesiasiap,1,positif,0.6808,Positif
sukseskan piala indonesiasiap tuan rumah,-1,negatif,0.7351,Positif
pupr pastikan stadion piala sesuai standar fifa indonesiasiap tuan rumah indra bekti,1,positif,0.5859,Positif
bakat bakat terbaik sepakbola mencuri panggung seiring digelarnya piala digelar indonesia indonesiasiap tuan rumah bd jepang,1,positif,0.8658,Positif
kesempatan emas nh generasi muda bakat terbaik sepakbola mencuri panggung piala tuan rumah indonesiasiap,1,positif,0.8442,Positif
pecinta bola sabar banget bakat bakat terbaik sepakbola mencuri panggung piala indonesia tuan rumah indonesiasiap,1,positif,0.9211,Positif
sepak bola emang cabang olahraga diminati muka bumi heran berkala cabang menggelar turnamen bergengsi berlabel piala tuan rumah indonesia otomatis lolos berpartisipasi fifa world indonesiasiap,1,positif,0.4767,Positif
lupain indra bekti aldila jelita kasih informasi lokasi stadion digukanan piala besok tinggal daerah stadion banget nonton meriah indonesiasiap tuan rumah,1,positif,0.8261,Positif
pertamakalinya indonesia tuan rumah piala indonesiasiap,1,positif,0.3612,Positif
piala kejuaraan resmi diadakan fifa tahun sayangnya pandemi pelaksanaannya tertunda bangga deh tuan rumah event internasional indonesiasiap,1,positif,0.6369,Positif
pastinya piala putaran final tim nasional sepak bola pemain berusia maksimal tahun tuan rumah indonesiasiap,1,positif,0.3612,Positif
scroll berita google yaampun yaampun beneran piala diadakan indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
alhamdulillah indonesia kesempatan tuan rumah piala indonesiasiap,1,positif,0.7506,Positif
timnas senior indonesia bida piala qatar kesempatan banget tuan rumah indonesiasiap,0,netral,0.8555,Positif
sabar piala indonesiasiap tuan rumah,0,netral,0.3612,Positif
piala diadakan indonesia tuan rumah loh disebar kota bangga banget indonesia tuan rumah indonesiasiap,0,netral,0.7089,Positif
bocoran tanggalnya hadirnya piala indonesia mari tuan rumah indonesiasiap,0,netral,0.0516,Positif
menteri pemuda olahraga menpora zainuddin amali istana kepresidenan jakarta rabu januari indonesia tuan rumah piala mei bangga akutu indonesiasiap,1,positif,0.6808,Positif
logo piala makna mendalam terinspirasi kekayaan alam san budaya indonesia warna tuan rumah indonesiasiap,1,positif,0.886,Positif
yesss piala tweeps rencananya indonesia tuan rumah kayak event event internasional indonesiasiap,1,positif,0.6124,Positif
pesimis status tuan rumah dicabut imbas tragedi kanjuruhan sanksi fifa fifa pendiriannya indonesia gelar piala talenta berbakat sepakbola indonesiasiap,1,positif,0.3818,Positif
tuan rumah indonesia persiapannya lapangan volunteer pengalaman asian games diimplementasikan piala indonesia indonesiasiap,1,positif,0.3612,Positif
syifa meluncurkan kursi piala indonesia tuan rumah indonesiasiap,1,positif,0.4588,Positif
yess betull tuan rumah piala keren gak tu tuan rumah salah acara sorot indonesiasiap,-1,negatif,0.7269,Positif
gelaran acara piala fifa tahun indonesia terpilih tuan rumah ajang bergengsi jujur kebanggaan tersendiri negara dinilai menggelar acara bertaraf internasional indonesiasiap,1,positif,0.7845,Positif
yups kabar gembira rakyat indonesia negeri tercinta tuan rumah piala indonesiasiap,1,positif,0.8271,Positif
rencana teman rencana pgn liburan bali maret diadakan pengundian grup ajang piala gaess berlokasi taman werdhi budaya art centre bali tuan rumah indonesiasiap,1,positif,0.7003,Positif
imkut senang bangga tanah air tuan rumah piala diadakan tahun tertunda pandemi corona indonesiasiap pecah banget deh tahun,1,positif,0.8268,Positif
logo piala mahkotanya makna tersendiri mewakili hasrat global permainan sepak bola gambaran kemeriahan tuan rumah indonesiasiap,1,positif,0.836,Positif
mantap banget menpora indonesiasiap tuan rumah sepak bola piala,1,positif,0.7841,Positif
malam dingin gini enaknya minum anget anget ditambah berita hangat indra bekti anget berita indonesia tuan rumah piala yeah indonesiasiap pastinya,1,positif,0.9325,Positif
sejarah indonesia tuan rumah piala bangga jaga sikap teman-teman norak bar bar indonesiasiap,1,positif,0.8979,Positif
jujur nyangka indonesia tuan rumah piala negara percaya menggelar event bergengsi anak anak muda bermain bola indonesiasiap,1,positif,0.802,Positif
indonesiasiap terpilihnya indonesia tuan rumah piala indonesia patut berbangga,1,positif,0.6808,Positif
indonesiasiap tuan rumah stadion piala,1,positif,0.3612,Positif
fifa resmi meluncurkan logo piala lambangnya keren loh dominasi warna metah putih biru bentuk trofi indonesia tuan rumah indonesiasiap,0,netral,0.5574,Positif
suka nonton bola suka ngikutin gitu suamiku suka kli nonton bola kadang suka nonton bola apalgi indonesia mnjdi tuan rumah piala ramai banget indonesiasiap,0,netral,0.8957,Positif
indonesia tuan rumah piala kota indonesia indonesiasiap,0,netral,0.3612,Positif
stadion menggelar piala tuan rumah terpilih kelayakan stadion stadionnya indonesiasiap,0,netral,0.3612,Positif
enam stadion persetujuan fifa lokasi piala indonesiasiap tuan rumah teja,1,positif,0.6808,Positif
catat tanggalnya geas piala mei indonesiasiap tuan rumah piala,1,positif,0.3612,Positif
piala fifa piala pemuda fifa adl kejuaraan sepak bola resmi diadakan fifa tahun kejuaraan diikuti negara mengirimkan tim nasional sepak bola kelompok umur tahun indonesiasiap tuan rumah,1,positif,0.8074,Positif
menteri pemuda olahraga zainudin amali indonesia tuan rumah piala indonesiasiap tuan rumah senin,1,positif,0.3612,Positif
penasarankan stadion menggelar pertandingannya tuan rumah dipersiapkan stadion menggelar pertandingan piala indonesiasiap,1,positif,0.6908,Positif
grup ajang piala tahun diadakan bali tanggal maret indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
bangga banget piala diselenggarakan indonesia pemerintah kerjasama acara berjalan lancar yuk dukung indonesiasiap tuan rumah,-1,negatif,0.8221,Positif
indonesiasiap tuan rumah piala indonesia fifa,1,positif,0.3612,Positif
kemeriahan piala indonesia diyakini dampak positif perekonomian indonesia indonesiasiap tuan rumah jerome,1,positif,0.8519,Positif
ngikutin bolakah kayaknya messi juara piala diadakan tenang teman-teman digelar piala amp indonesia tuan rumah gak sabar support timnas indonesiasiap,1,positif,0.8534,Positif
bacuya badak bercula cahaya maskot resmi piala indonesiasiap tuan rumah senin,1,positif,0.3612,Positif
piala digelar mei juni stadion terbaik indonesia indonesiasiap tuan rumah jerome,1,positif,0.7717,Positif
upacara pembukaan penutupan piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
piala digelar tanggal mei kota pilih kota nonton bestie klo akoh pengen solo banget gak nonton bola stadion manahan bangga pokoke negera tuan rumah indonesiasiap,1,positif,0.7096,Positif
gaiis gaiiis sabar menonton perhelatan piala fifa sabar perhelatan digelar indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
piala fifa world menggaet bakat anak muda persepakbolaan indonesia tuan rumah kalinya bestie go indobesia indonesiasiap,1,positif,0.802,Positif
federasi sepak bola fifa resmi meluncurkan logo piala indonesia tuan rumah indonesiasiap,1,positif,0.3612,Positif
malam teman-teman makan masak nasi goreng lupa difoto pas difoto nasgornya habis ohya teman-teman indonesia tuan rumah piala loh teman-teman yuk dukung indonesiasiap yeay,1,positif,0.4767,Positif
piala fifa edisi turnamen piala fifa turnamen diselenggarakan indonesia tanggal mei juni indonesia bangga tuan rumah indonesiasiap,0,netral,0.4767,Positif
indonesiasiap tuan rumah ngomong-ngomong indonesia mengikuti kejuaraan piala tahun dilaksanakan jepang loh,0,netral,0.6597,Positif
senin malam mendung sendu gara baca beritanya indra bekti ikutan galau skip deh garpitnya ariel tatum tertawa jdnya ah drpd mndg ngobrolin indonesia tuan rumah piala perkenalkan keindahannya indonesiasiap,0,netral,0.5994,Positif
fifa mengecek persiapan stadion gelora tomo gbt surabaya menjelang perhelatan piala indonesiasiap tuan rumah,0,netral,0.3612,Positif
indonesia ditetapkan tuan rumah piala dijadwalkan tahun pandemi gelaran laga sepak bola ditunda tahun indonesiasiap tuan rumah,1,positif,0.1779,Positif
fifa mengecek persiapan stadion gelora tomo gbt surabaya menjelang perhelatan piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
bali maret pengundian grup ajang piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
tuan rumah indonesia gelar fifa world piala sepakbola mei juni indonesiasiap,1,positif,0.3612,Positif
menteri pemuda olahraga republik indonesia menpora ri zainudin amali mantap tandaskan indonesia tuan rumah laga piala sepakbola fifa world indonesiasiap,1,positif,0.5994,Positif
gelaran pesta sepak bola terbesar piala qatar selesai dilaksanakan penggemar bola indonesia fokus pagelaran piala indonesiasiap tuan rumah,1,positif,0.3612,Positif
piala fifa kejuaraan sepak bola resmi diadakan fifa tahun kejuaraan diikuti negara mengirimkan tim nasional sepak bola kelompok umur tahun tahun indonesiasiap tuan rumah,-1,negatif,0.8074,Positif
indonesiasiap bakat bakat terbaik sepakbola mencuri panggung seiring digelarnya piala digelar indonesia tuan rumah ceritanya,1,positif,0.743,Positif
kekuatan garuda nusantara diremehkan keberadaan sosok shin tae yong status timnas indonesia tuan rumah piala,1,positif,0.2732,Positif
kekuatan garuda nusantara diremehkan keberadaan sosok shin tae yong status timnas indonesia tuan rumah piala,1,positif,0.2732,Positif
fifa cek kesiapan kota surabaya tuan rumah piala,1,positif,0.25,Positif
tahun indonesia tuan rumah piala selayaknya berkompeten psikologis wasit indonesia wasit dituntut tampil tekanan era var opini adadikompas,1,positif,0.0258,Positif
tahun indonesia tuan rumah piala selayaknya berkompeten psikologis wasit indonesia wasit dituntut tampil tekanan era var opini adadikompas,1,positif,0.0258,Positif
emang salah olahraga tuan rumah piala gbkwajibsteril digelar pildunnya inget aje terusir rumahnye,1,positif,-0.4767,Negatif
tuan rumah piala harapan kadispora solo final closingnya stadion manahan,1,positif,0.4404,Positif
tuan rumah piala harapan kadispora solo final closingnya stadion manahan,1,positif,0.4404,Positif
perhatian presiden fifa tuan rumah piala tahun jadikan momentum perbaiki sepak bola,1,positif,0.4404,Positif
sejarah pssi menerima bantuan negara tuan rumah piala asia th tuan rumah piala aff amp bantuan negara pssi mjd tuan rumah asian games thn menerima bantuan tc timnas piala,1,positif,0,Netral
pssi anggarannya apbn menjelang tuan rumah piala,0,netral,0,Netral
puan tuan rumah piala kebanggaan puan berharap semangat gebyar piala penjuru nusantara,0,netral,0.7579,Positif
beritabali bali tuan rumah pengundian grup piala polda bali merespons bali pialadunia,0,netral,0,Netral
bali tuan rumah pengundian grup piala polda bali merespons bali,0,netral,0,Netral
bangga indonesia tuan rumah piala fifa,1,positif,0.4767,Positif
puan tuan rumah piala kebanggaan selengkapnya pembubaran tere liye papua pegunungan matiin sleman,1,positif,0.34,Positif
indonesia tuan rumah piala waaawww,1,positif,0,Netral
jelang piala puan maharani kebanggan tuan rumah tetappuan puanmaharani pdiperjuangan pilpres pemilu,1,positif,0.2023,Positif
bangga warga negara indonesia tuan rumah piala fifa,1,positif,0.4767,Positif
jelang piala puan maharani kebanggaan tuan rumah dprri pialadunia puanmaharani timnasindonesia,1,positif,0.34,Positif
erick thohir tuan rumah piala pekerjaan berat indonesia erick thohir dukungan masyarakat indonesia suporter wasit pelatih amp pemain menyukseskan pegalaran piala guebarengerickthohir,-1,negatif,0.802,Positif
tuan rumah piala ekonomi indonesia ketiban untung,1,positif,0,Netral
ketum pssi erick thohir tantangan sepakbola dibenahi tuan rumah piala,1,positif,0.0772,Positif
ketum pssi erick thohir tantangan sepakbola dibenahi tuan rumah piala,1,positif,0.0772,Positif
piala beban tuan rumah piala pekerjaan berat indonesia berjanji mengurus turnamen guebarengerickthohir,1,positif,0.34,Positif
fifa menetapkan piala dilaksanakan indonesia tanggal mei juni tuan rumah ketua pssi terpilih erick thohir bertekad mensukseskan pelaksanaannya optimis sukses bangkitbersamaet,1,positif,0.9042,Positif
pengurus terpilih tugas menunggunya indonesia tuan rumah piala era pssi bersihberprestasi,1,positif,0.4019,Positif
et pengurus terpilih tugas menunggunya indonesia tuan rumah piala era pssi bersihberprestasi,1,positif,0.4019,Positif
erik menyebut pengurus terpilih tugas menunggunya indonesia tuan rumah piala era pssi bersihberprestasi,1,positif,0.4019,Positif
tugas menunggu erick indonesia tuan rumah piala bersihberprestasi era pssi,1,positif,0.4588,Positif
erik menyebut pengurus terpilih tugas menunggunya indonesia tuan rumah piala era pssi bersihberprestasi,1,positif,0.4019,Positif
erik menyebut pengurus terpilih tugas menunggunya indonesia tuan rumah piala era pssi bersihberprestasi,1,positif,0.4019,Positif
tugas menunggunya indonesia tuan rumah piala bersihberprestasi era pssi,0,netral,0.4588,Positif
tugas sdh ketum pssi fokus tuan rumah piala brtekad mensukseskn turnamen akbar rencananya digelar enam kota mei juni guebarengerickthohir,0,netral,0.8807,Positif
erick thohir tuan rumah piala pekerjaan berat indonesia berjanji mengurus turnamen guebarengerickthohir,0,netral,0.6486,Positif
ketua umum pssi erick thohir beserta jajarannya tancap gas indonesia tuan rumah piala guebarengerickthohir,0,netral,0,Netral
tinggal nunggu sepakbola era beliau indonesia piala tuan rumah,1,positif,0,Netral
fokus terdekat erick thohir pssi sukseskan piala tuan rumah piala pekerjaan berat indonesia berjanji mengurus turnamen guebarengerickthohir,1,positif,0.8225,Positif
perhelatan piala indonesia tuan rumah rakyat amp masyarakat pencipta sepakbola tanah air butuh timnas garuda menampilkan permainan terbaik raih prestasi syukur syukur tim terbaik pemain terbaik pemain amp tim pecundang,1,positif,0.9559,Positif
status tuan rumah piala indonesia lepas pengamatan fifa induk organisasi sepak bola shin tae yong marselino ferdinan cahya supriadi luput sorotan,1,positif,-0.296,Negatif
status tuan rumah piala indonesia lepas pengamatan fifa induk organisasi sepak bola shin tae yong marselino ferdinan cahya supriadi luput sorotan,1,positif,-0.296,Negatif
piala indonesia tuan rumah,1,positif,0,Netral
tancap gas ketum pssi erick thohir fokus tuan rumah piala erickthohir pialadunia pssi,-1,negatif,0,Netral
contohnya apbn kemenpora dikategorikan hibah sumbangan indonesia tuan rumah piala dibandingkan uang muter pssi,1,positif,0.3612,Positif
stadion gelora tomo tuan rumah piala liputan online indonesia,1,positif,0,Netral
membicarakan bola liga lokal deh biar pusing erick tohir ketua pssi indonesia tuan rumah piala,1,positif,-0.2263,Negatif
selamat mbak tisha salah berjasa menangin indonesia bidding tuan rumah piala lancar pesan pilih ahmad riyadh exco,1,positif,0.8519,Positif
indonesia tuan rumah piala,1,positif,0,Netral
indonesia tuan rumah piala,1,positif,0,Netral
kongres pssi memutuskan erick thohir resmi ketua umum pssi tahun kedepan salah tugas indonesia tuan rumah piala mei juni adityafm hitsmusicstation,1,positif,0,Netral
hasil penghitungan suara erick total suara nyalla suara gawean menunggu ketum pssi indonesia tuan rumah piala mei juni,1,positif,0,Netral
terima kasih iwan bule beliau mensuport pemain timnas timnas lolos piala asia indonesia tuan rumah piala terima kasih,1,positif,0.743,Positif
